user_id,Amount,Frequency,Recency,R_Quartile,F_Quartile,M_Quartile,RFMClass
11,1874.4,13,727,3,4,4,344
13,497.8,4,728,3,2,2,322
115,539.7,3,718,4,1,2,412
121,1101.8,14,711,4,4,3,443
215,2149.5,6,718,4,3,4,434
274,711,6,870,2,3,2,232
308,480,3,938,1,1,2,112
318,153.9,4,824,2,2,1,221
336,707.9,3,1622,1,1,2,112
338,2297.5,17,720,4,5,4,454
364,154.7,3,1922,1,1,1,111
387,275.8,3,766,3,1,1,311
426,465.8,6,852,2,3,1,231
456,1533.6,14,819,2,4,4,244
460,612.9,5,682,4,2,2,422
462,3948,8,1244,1,3,5,135
469,5518.9,27,768,3,5,5,355
10479,1895.5,10,1021,1,4,4,144
10505,655,6,418,5,3,2,532
10516,757,9,928,1,4,2,142
10526,2644.5,17,916,1,5,5,155
10557,2013,5,1608,1,2,4,124
10589,1303.5,9,546,5,4,3,543
10611,1336,4,1143,1,2,4,124
10654,2760.89,10,708,4,4,5,445
10715,819.79,7,759,3,3,3,333
10718,1085.7,5,1872,1,2,3,123
10720,911,9,767,3,4,3,343
10726,264,3,903,2,1,1,211
10754,1191.3,12,1143,1,4,3,143
10791,1913.8,11,710,4,4,4,444
10803,1326.6,8,713,4,3,3,433
10829,940.3,6,1402,1,3,3,133
10851,9032,33,726,3,5,5,355
10855,7406.4,25,698,4,5,5,455
10893,1078,5,2335,1,2,3,123
10904,1164.9,5,759,3,2,3,323
10914,7890.6,41,753,3,5,5,355
10915,969,8,751,3,3,3,333
11007,80.7,3,933,1,1,1,111
11068,478.3,3,371,5,1,2,512
11102,1454.8,7,874,2,3,4,234
11143,109,3,1,5,1,1,511
11162,773.48,5,455,5,2,2,522
11164,1337.7,8,490,5,3,4,534
11176,3218.8,16,791,3,5,5,355
11181,1267.2,12,915,1,4,3,143
11389,2921.5,15,739,3,4,5,345
11471,1051.8,6,838,2,3,3,233
11492,935.7,5,944,1,2,3,123
11571,813,4,1245,1,2,3,123
11580,1576.7,10,394,5,4,4,544
11588,730.9,5,687,4,2,2,422
11702,383.7,5,901,2,2,1,221
11734,2042.4,7,924,1,3,4,134
11767,1948.6,19,757,3,5,4,354
11945,503.9,4,829,2,2,2,222
11950,1667.9,6,991,1,3,4,134
11977,1263.8,6,718,4,3,3,433
11990,239,3,822,2,1,1,211
12017,1136.93,11,799,3,4,3,343
12067,1219,4,825,2,2,3,223
12078,1507,5,807,3,2,4,324
12094,2458.2,12,1107,1,4,4,144
12169,1838,11,439,5,4,4,544
12215,441,5,1363,1,2,1,121
12224,2452.7,15,695,4,4,4,444
12294,3308.9,31,1010,1,5,5,155
12311,1120,7,268,5,3,3,533
12315,2038.8,7,2178,1,3,4,134
12376,903.8,4,841,2,2,3,223
12423,495.9,3,704,4,1,2,412
12484,2056.9,7,710,4,3,4,434
12515,316,3,804,3,1,1,311
12535,1166,5,859,2,2,3,223
12637,1078.9,11,718,4,4,3,443
12676,1918.1,8,1611,1,3,4,134
12764,2492.5,27,784,3,5,4,354
12784,142.7,4,1988,1,2,1,121
13003,384,5,679,4,2,1,421
13041,1828.8,8,1332,1,3,4,134
13077,473.2,4,946,1,2,1,121
13176,2526.5,21,804,3,5,4,354
13190,1848.9,5,1592,1,2,4,124
13193,691.7,5,697,4,2,2,422
13235,478.3,7,805,3,3,2,332
13246,1158.6,5,813,3,2,3,323
13278,3791.6,26,2156,1,5,5,155
13294,1619.7,7,861,2,3,4,234
13360,479.9,3,922,1,1,2,112
13382,236,6,753,3,3,1,331
13415,6628.4,41,683,4,5,5,455
13463,17680.2,33,147,5,5,5,555
13502,466.2,9,925,1,4,1,141
13506,930.7,3,708,4,1,3,413
13539,435,3,880,2,1,1,211
13541,879.7,4,190,5,2,3,523
13577,2856.2,12,933,1,4,5,145
13590,1465.5,12,1836,1,4,4,144
13675,1943.7,16,567,5,5,4,554
13687,311.5,3,923,1,1,1,111
13707,3576.6,24,782,3,5,5,355
13720,2256.5,12,745,3,4,4,344
13779,327,4,677,4,2,1,421
13781,2407.7,13,1787,1,4,4,144
13885,284.9,3,646,4,1,1,411
13906,1790,8,1276,1,3,4,134
13914,656.3,4,2405,1,2,2,122
13938,2308.6,7,120,5,3,4,534
13964,412.9,4,1137,1,2,1,121
14006,560.9,4,1532,1,2,2,122
14093,613.8,5,1275,1,2,2,122
14108,717.7,5,847,2,2,2,222
14138,5458,42,779,3,5,5,355
14181,3569.6,22,792,3,5,5,355
14199,6468.3,25,430,5,5,5,555
14232,1674.8,9,1369,1,4,4,144
14253,1705.8,11,818,2,4,4,244
14340,3399,18,1728,1,5,5,155
14366,1268,4,1036,1,2,3,123
14374,5314.6,17,1361,1,5,5,155
14447,949,3,1181,1,1,3,113
14514,1463.7,11,792,3,4,4,344
14524,660,3,1495,1,1,2,112
14540,545,3,1334,1,1,2,112
14553,517.9,3,703,4,1,2,412
14578,2430.6,4,1904,1,2,4,124
14623,983.7,6,1450,1,3,3,133
14624,404.2,3,701,4,1,1,411
14652,431.8,8,1444,1,3,1,131
14746,4244.27,27,721,4,5,5,455
14759,1243.9,6,906,2,3,3,233
14784,78,3,887,2,1,1,211
14792,1038.6,5,774,3,2,3,323
14818,1307.5,11,797,3,4,3,343
14849,2291.7,9,1090,1,4,4,144
14865,3115.9,10,837,2,4,5,245
14886,753,6,819,2,3,2,232
14962,478.8,4,928,1,2,2,122
14995,883.8,6,807,3,3,3,333
15088,3616.77,16,1123,1,5,5,155
15096,273,4,899,2,2,1,221
15128,647,4,791,3,2,2,322
15166,643,7,288,5,3,2,532
15223,2107,9,727,3,4,4,344
15254,407.8,3,1166,1,1,1,111
15262,5671.1,40,695,4,5,5,455
15290,1321.8,11,326,5,4,3,543
15291,3975.7,19,805,3,5,5,355
15321,1254.6,11,728,3,4,3,343
15384,575,5,251,5,2,2,522
15419,868.9,3,886,2,1,3,213
15448,2012.2,10,1429,1,4,4,144
15470,2561.6,19,722,3,5,4,354
15496,1208.5,8,759,3,3,3,333
15538,684.9,5,865,2,2,2,222
15572,1082.7,7,865,2,3,3,233
15594,2264.6,10,1604,1,4,4,144
15617,563.9,3,835,2,1,2,212
15666,1290.4,7,1161,1,3,3,133
15702,315.9,3,704,4,1,1,411
15715,332.7,3,873,2,1,1,211
15726,685,6,1064,1,3,2,132
15921,407,6,819,2,3,1,231
16057,1798,5,1011,1,2,4,124
16071,7803.88,36,1202,1,5,5,155
16112,3733.1,16,308,5,5,5,555
16136,2023.7,16,1249,1,5,4,154
16192,2279.5,14,880,2,4,4,244
16272,593.6,4,1181,1,2,2,122
16291,5933.6,43,815,2,5,5,255
16297,1816.3,13,1049,1,4,4,144
16311,2623.9,12,759,3,4,5,345
16344,1074.5,16,2233,1,5,3,153
16355,1799.3,19,718,4,5,4,454
16368,612.8,4,1446,1,2,2,122
16396,464,3,1560,1,1,1,111
16407,502.6,4,920,1,2,2,122
16446,1422,12,1370,1,4,4,144
16463,1455,12,772,3,4,4,344
36503,890,6,1332,1,3,3,133
36506,5191.6,29,676,4,5,5,455
36543,440,5,551,5,2,1,521
36544,2237.14,20,697,4,5,4,454
36561,7096.8,21,1347,1,5,5,155
36569,881.4,8,924,1,3,3,133
36577,3297,7,887,2,3,5,235
36721,1746.7,11,898,2,4,4,244
36727,2475,7,880,2,3,4,234
36728,6837.7,38,1571,1,5,5,155
36741,9205.9,29,1109,1,5,5,155
36763,250.8,3,803,3,1,1,311
36774,689,3,372,5,1,2,512
36818,607.8,5,883,2,2,2,222
36824,384,3,676,4,1,1,411
36904,956.5,10,1139,1,4,3,143
36980,1291.3,8,932,1,3,3,133
36984,814,3,941,1,1,3,113
37014,1110.7,3,724,3,1,3,313
37103,274.7,3,940,1,1,1,111
37118,1095.39,21,810,3,5,3,353
37159,1874,9,822,2,4,4,244
37174,931,3,1180,1,1,3,113
37184,1388,14,1109,1,4,4,144
37232,257.7,3,892,2,1,1,211
37255,1360.9,6,821,2,3,4,234
37258,699.7,5,762,3,2,2,322
37268,1485,3,902,2,1,4,214
37312,621.8,4,861,2,2,2,222
37363,570.5,3,699,4,1,2,412
37379,5636.5,26,10,5,5,5,555
37419,761.9,4,688,4,2,2,422
37451,1967.7,10,1042,1,4,4,144
37463,654,4,400,5,2,2,522
37465,119.9,3,1988,1,1,1,111
37493,684.8,6,1030,1,3,2,132
37507,795.2,15,689,4,4,3,443
37526,4714.1,21,728,3,5,5,355
37548,163.7,3,845,2,1,1,211
37552,663.5,7,893,2,3,2,232
37569,228.9,3,874,2,1,1,211
37592,1643.9,10,1558,1,4,4,144
37642,478,3,310,5,1,2,512
37663,707.8,6,912,2,3,2,232
37666,2133.3,10,765,3,4,4,344
37681,297,3,2494,1,1,1,111
37753,3264.1,25,771,3,5,5,355
37792,8552,26,163,5,5,5,555
37803,692.3,4,1043,1,2,2,122
37816,730.8,5,649,4,2,2,422
37849,936.7,5,1132,1,2,3,123
37886,1408,12,794,3,4,4,344
37949,2320,4,1593,1,2,4,124
37991,2027.4,17,672,4,5,4,454
38031,1707.4,18,697,4,5,4,454
38050,10351.9,34,1115,1,5,5,155
38064,5471.8,23,835,2,5,5,255
38116,352,4,1222,1,2,1,121
38134,461.7,5,867,2,2,1,221
38136,417,4,1034,1,2,1,121
38138,580.6,5,819,2,2,2,222
38145,4593.2,17,1089,1,5,5,155
