user_id,R_Quartile,F_Quartile,M_Quartile
11,3,4,4
13,3,2,2
115,4,1,2
121,4,4,3
215,4,3,4
274,2,3,2
308,1,1,2
318,2,2,1
336,1,1,2
338,4,5,4
364,1,1,1
387,3,1,1
426,2,3,1
456,2,4,4
460,4,2,2
462,1,3,5
469,3,5,5
10479,1,4,4
10505,5,3,2
10516,1,4,2
10526,1,5,5
10557,1,2,4
10589,5,4,3
10611,1,2,4
10654,4,4,5
10715,3,3,3
10718,1,2,3
10720,3,4,3
10726,2,1,1
10754,1,4,3
10791,4,4,4
10803,4,3,3
10829,1,3,3
10851,3,5,5
10855,4,5,5
10893,1,2,3
10904,3,2,3
10914,3,5,5
10915,3,3,3
11007,1,1,1
11068,5,1,2
11102,2,3,4
11143,5,1,1
11162,5,2,2
11164,5,3,4
11176,3,5,5
11181,1,4,3
11389,3,4,5
11471,2,3,3
11492,1,2,3
11571,1,2,3
11580,5,4,4
11588,4,2,2
11702,2,2,1
11734,1,3,4
11767,3,5,4
11945,2,2,2
11950,1,3,4
11977,4,3,3
11990,2,1,1
12017,3,4,3
12067,2,2,3
12078,3,2,4
12094,1,4,4
12169,5,4,4
12215,1,2,1
12224,4,4,4
12294,1,5,5
12311,5,3,3
12315,1,3,4
12376,2,2,3
12423,4,1,2
12484,4,3,4
12515,3,1,1
12535,2,2,3
12637,4,4,3
12676,1,3,4
12764,3,5,4
12784,1,2,1
13003,4,2,1
13041,1,3,4
13077,1,2,1
13176,3,5,4
13190,1,2,4
13193,4,2,2
13235,3,3,2
13246,3,2,3
13278,1,5,5
13294,2,3,4
13360,1,1,2
13382,3,3,1
13415,4,5,5
13463,5,5,5
13502,1,4,1
13506,4,1,3
13539,2,1,1
13541,5,2,3
13577,1,4,5
13590,1,4,4
13675,5,5,4
13687,1,1,1
13707,3,5,5
13720,3,4,4
13779,4,2,1
13781,1,4,4
13885,4,1,1
13906,1,3,4
13914,1,2,2
13938,5,3,4
13964,1,2,1
14006,1,2,2
14093,1,2,2
14108,2,2,2
14138,3,5,5
14181,3,5,5
14199,5,5,5
14232,1,4,4
14253,2,4,4
14340,1,5,5
14366,1,2,3
14374,1,5,5
14447,1,1,3
14514,3,4,4
14524,1,1,2
14540,1,1,2
14553,4,1,2
14578,1,2,4
14623,1,3,3
14624,4,1,1
14652,1,3,1
14746,4,5,5
14759,2,3,3
14784,2,1,1
14792,3,2,3
14818,3,4,3
14849,1,4,4
14865,2,4,5
14886,2,3,2
14962,1,2,2
14995,3,3,3
15088,1,5,5
15096,2,2,1
15128,3,2,2
15166,5,3,2
15223,3,4,4
15254,1,1,1
15262,4,5,5
15290,5,4,3
15291,3,5,5
15321,3,4,3
15384,5,2,2
15419,2,1,3
15448,1,4,4
15470,3,5,4
15496,3,3,3
15538,2,2,2
15572,2,3,3
15594,1,4,4
15617,2,1,2
15666,1,3,3
15702,4,1,1
15715,2,1,1
15726,1,3,2
15921,2,3,1
16057,1,2,4
16071,1,5,5
16112,5,5,5
16136,1,5,4
16192,2,4,4
16272,1,2,2
16291,2,5,5
16297,1,4,4
16311,3,4,5
16344,1,5,3
16355,4,5,4
16368,1,2,2
16396,1,1,1
16407,1,2,2
16446,1,4,4
16463,3,4,4
36503,1,3,3
36506,4,5,5
36543,5,2,1
36544,4,5,4
36561,1,5,5
36569,1,3,3
36577,2,3,5
36721,2,4,4
36727,2,3,4
36728,1,5,5
36741,1,5,5
36763,3,1,1
36774,5,1,2
36818,2,2,2
36824,4,1,1
36904,1,4,3
36980,1,3,3
36984,1,1,3
37014,3,1,3
37103,1,1,1
37118,3,5,3
37159,2,4,4
37174,1,1,3
37184,1,4,4
37232,2,1,1
37255,2,3,4
37258,3,2,2
37268,2,1,4
37312,2,2,2
37363,4,1,2
37379,5,5,5
37419,4,2,2
37451,1,4,4
